IBVStatusID,DateCreated
757,2025-12-04 07:43:09.047
1258,2025-12-04 14:02:28.853
1382,2025-12-04 11:43:58.047
1810,2025-12-04 07:53:09.990
2334,2025-12-04 10:18:45.287
2632,2025-12-04 10:45:14.617
3158,2025-06-17 10:13:20.697
3509,2025-12-04 07:57:36.090
3513,2025-12-04 07:30:27.137
3586,2025-12-04 09:01:27.960
3854,2025-12-04 14:21:03.840
4125,2025-12-05 08:15:23.050
4152,2025-12-04 07:40:24.297
4244,2025-05-23 11:25:17.140
4508,2025-12-04 08:50:42.933
4911,2025-12-04 07:45:04.007
5078,2025-12-04 10:25:19.823
5133,2025-12-04 07:29:34.467
5211,2025-12-04 14:11:36.807
5348,2025-12-04 08:51:13.627
5873,2025-12-05 07:38:05.710
6441,2025-12-04 07:48:43.497
6591,2025-12-04 08:05:50.197
6605,2025-12-08 20:28:20.990
6647,2025-12-04 10:39:00.250
7201,2025-12-04 10:47:18.490
7535,2025-12-08 13:50:58.443
7852,2025-12-04 07:31:42.307
7997,2025-12-05 05:57:42.690
8582,2025-12-05 08:15:37.800
8614,2025-12-04 11:33:54.667
8920,2025-12-05 08:15:40.870
9177,2025-12-05 08:00:15.583
9569,2025-12-04 07:39:49.113
9783,2025-12-04 07:35:18.403
10085,2025-12-04 08:52:53.380
10215,2025-12-04 11:50:50.693
10298,2025-12-09 13:17:05.153
10361,2025-12-04 07:52:02.330
10558,2025-12-04 11:46:25.243
10788,2025-12-04 10:29:23.773
10861,2025-12-04 10:22:45.423
10894,2025-12-04 08:52:11.960
11043,2025-12-04 08:04:26.560
11055,2025-12-04 07:45:56.657
11241,2025-10-17 10:18:24.887
11277,2025-06-27 11:14:14.050
11364,2025-12-05 07:54:30.953
11774,2025-12-04 11:14:01.650
12093,2025-12-04 07:36:02.580
12170,2025-12-04 10:19:11.377
12198,2025-12-04 08:00:03.407
12319,2025-12-04 07:44:41.130
12442,2025-12-08 12:32:08.643
12510,2025-12-07 09:26:41.660
12653,2025-12-04 07:58:13.207
12771,2025-12-09 09:13:09.210
13130,2025-12-04 08:00:43.737
13354,2025-12-05 14:26:02.833
13469,2025-12-04 14:00:24.023
13528,2025-12-08 14:08:52.480
13693,2025-12-05 07:58:47.707
13750,2025-12-05 07:31:15.523
13962,2025-12-04 14:09:37.083
13964,2025-12-04 10:52:03.853
13998,2025-12-05 08:15:45.060
14032,2025-12-05 07:52:31.773
14591,2025-12-04 10:31:13.313
14724,2025-12-05 07:57:56.943
14730,2025-12-04 07:29:50.150
14812,2025-12-04 10:47:31.373
15005,2025-12-05 07:36:38.770
15170,2025-12-03 15:43:56.667
15246,2025-12-05 07:57:07.183
15326,2025-12-05 06:19:35.993
15612,2025-12-05 07:46:53.517
15859,2025-12-08 15:21:28.920
15931,2025-10-10 12:43:15.050
15966,2025-12-04 10:24:23.433
16343,2025-12-07 11:45:34.107
16370,2025-12-05 06:56:56.033
16453,2025-12-05 07:36:25.953
16512,2025-11-03 11:55:40.570
16898,2025-12-08 07:10:25.120
16989,2025-12-09 13:04:50.803
16992,2025-10-03 11:27:36.610
17001,2025-12-08 09:16:49.750
17320,2025-12-08 09:34:22.937
17415,2025-12-04 10:26:39.233
17522,2025-12-08 10:48:52.683
17609,2025-12-07 12:53:05.020
17860,2025-12-05 16:10:41.597
18459,2025-12-05 07:34:10.137
18466,2025-12-05 08:04:04.883
18808,2025-12-09 09:13:02.040
18903,2025-12-04 13:54:00.187
18928,2025-11-21 14:39:23.617
19201,2025-12-05 06:52:13.250
19431,2025-12-05 07:58:43.510
19671,2025-12-05 07:51:39.213
19901,2025-12-04 10:18:16.290
20200,2025-12-04 10:08:34.900
20203,2025-12-07 09:20:59.117
20477,2025-12-04 10:49:19.083
20563,2025-12-05 07:45:00.667
20587,2025-12-04 10:43:42.760
20803,2025-12-04 07:46:14.347
21182,2025-12-03 10:30:04.307
21227,2025-12-09 17:46:41.300
21399,2025-12-04 07:31:38.260
21493,2025-12-04 13:54:31.840
21628,2025-12-04 07:58:29.407
21682,2025-12-08 08:25:34.623
21858,2025-12-07 13:55:11.670
21906,2025-12-05 07:40:44.317
21927,2025-12-05 08:15:48.987
21929,2025-12-04 07:44:14.973
22034,2025-11-17 16:22:01.913
22113,2025-12-09 17:17:27.500
22195,2025-12-04 14:29:01.597
22319,2025-12-09 07:30:01.980
22343,2025-12-04 07:59:17.910
22496,2025-12-05 06:28:57.360
22558,2025-12-04 10:43:38.043
22562,2025-12-05 06:45:19.280
22576,2025-12-09 14:40:09.740
22696,2025-12-04 14:05:41.707
22741,2025-12-04 08:58:18.783
23026,2025-12-05 08:15:51.277
23047,2025-12-04 10:51:48.557
23064,2025-12-04 13:48:38.380
23068,2025-12-05 07:01:46.047
23220,2025-12-04 14:20:58.720
23279,2025-12-04 08:52:45.233
23306,2025-12-05 07:36:12.023
23328,2025-12-03 14:05:23.247
23517,2025-12-05 07:38:48.463
23752,2025-12-04 10:04:49.433
23899,2025-10-09 10:09:10.690
23986,2025-12-05 07:55:50.973
24424,2025-12-05 06:28:43.197
24432,2025-12-05 16:21:12.910
24517,2025-12-04 11:44:59.347
24580,2025-12-09 18:48:43.033
24624,2025-12-05 07:32:38.780
24650,2025-12-04 07:57:53.313
24748,2025-12-04 07:32:41.927
24751,2025-12-02 12:48:41.987
25118,2025-12-05 06:02:29.787
25270,2025-12-08 17:17:26.857
25384,2025-12-09 15:00:30.390
25613,2025-12-05 07:43:48.440
25662,2025-12-04 10:10:07.333
25831,2025-12-04 09:01:33.347
25919,2025-12-05 07:35:59.670
26015,2025-12-05 14:18:35.913
26173,2025-12-05 07:42:27.887
26190,2025-12-05 07:32:42.930
26226,2025-12-08 13:07:09.830
26236,2025-12-05 07:10:05.620
26238,2025-12-05 06:53:47.157
26241,2025-12-05 08:00:22.527
26423,2025-12-04 11:44:19.010
26531,2025-12-05 09:12:11.670
26847,2025-12-05 07:40:22.880
26880,2025-12-04 10:26:44.520
26933,2025-12-04 07:32:55.573
27341,2025-12-04 10:33:05.323
27552,2025-10-17 15:06:54.180
27633,2025-12-05 07:40:29.110
27745,2025-12-04 11:14:27.117
28020,2025-12-09 20:01:03.537
28065,2025-12-05 10:23:07.313
28304,2025-12-08 14:00:52.890
28495,2025-12-04 07:32:43.877
28671,2025-12-05 16:19:20.963
29011,2025-12-05 12:41:05.507
29074,2025-12-04 10:16:29.100
29504,2025-12-05 13:05:01.490
29641,2025-12-08 11:55:38.160
29855,2025-12-04 10:41:05.680
29954,2025-12-05 14:05:34.250
30118,2025-12-01 13:19:52.610
30289,2025-12-05 06:25:27.497
30387,2025-10-21 16:05:36.953
30493,2025-12-04 09:08:27.293
30716,2025-12-05 07:31:16.750
30719,2025-12-04 07:54:28.630
30817,2025-12-04 14:04:51.383
30942,2025-12-09 06:23:35.347
31238,2025-12-05 06:14:27.583
31267,2025-12-04 07:50:01.747
31347,2025-12-04 07:45:24.600
31391,2025-12-08 07:27:21.863
31411,2025-12-05 07:05:11.073
31631,2025-12-04 10:41:52.290
31742,2025-12-04 07:44:35.457
31800,2025-12-04 07:32:32.357
31802,2025-12-05 07:34:47.347
31805,2025-12-05 11:11:30.950
32385,2025-11-20 10:34:39.187
32413,2025-12-04 10:43:28.663
32503,2025-10-08 10:56:01.130
32945,2025-12-08 13:51:17.980
32978,2025-12-05 08:16:03.793
33105,2025-12-04 10:25:42.707
33110,2025-12-05 08:16:03.880
33128,2025-12-04 07:25:05.160
33136,2025-12-05 08:02:28.663
33224,2025-12-04 11:46:05.287
33342,2025-12-05 07:35:12.210
33371,2025-12-05 09:12:14.187
33724,2025-12-04 09:05:29.467
33876,2025-12-07 09:26:19.090
33877,2025-12-04 07:51:35.950
34006,2025-12-04 09:02:02.693
34273,2025-12-04 10:19:08.077
34298,2025-12-09 14:21:40.473
34366,2025-12-05 06:14:36.810
34371,2025-12-04 10:39:16.320
34409,2025-12-05 06:28:08.220
34539,2025-12-04 09:06:35.997
34659,2025-12-04 09:01:22.527
34761,2025-12-04 08:55:06.710
34815,2025-12-04 13:58:47.557
34827,2025-12-04 10:30:18.770
34871,2025-12-04 10:20:52.957
34916,2025-12-05 07:28:43.480
35012,2025-12-07 16:04:19.897
35019,2025-12-08 10:10:27.610
35062,2025-12-04 10:45:46.843
35180,2025-12-05 08:16:09.377
35370,2025-12-08 13:02:50.923
35717,2025-11-21 10:01:26.160
35749,2025-12-08 10:21:25.957
35881,2025-12-05 08:16:09.467
35960,2025-12-04 10:11:14.093
35983,2025-12-07 10:35:11.243
36020,2025-12-04 08:58:03.873
36129,2025-12-04 10:47:45.630
36161,2025-12-05 06:54:36.573
36167,2025-12-04 10:35:09.087
36232,2025-12-04 13:21:27.203
36306,2025-12-04 13:47:39.833
36377,2025-12-04 10:42:17.087
36383,2025-12-05 07:40:04.983
36544,2025-12-04 11:08:18.143
36729,2025-12-04 10:47:48.173
36993,2025-12-04 08:58:29.520
37195,2025-12-05 07:05:44.993
37350,2025-12-07 12:43:17.490
37377,2025-12-05 11:53:37.390
37505,2025-12-05 07:59:16.113
37789,2025-12-04 10:33:21.917
37857,2025-12-04 07:40:17.830
38178,2025-12-01 11:50:56.860
38419,2025-12-04 09:00:49.243
38520,2025-12-04 09:04:04.327
38521,2025-12-04 07:42:44.897
38533,2025-12-04 10:39:02.450
38599,2025-12-05 06:02:03.630
38714,2025-12-04 12:28:27.527
38872,2025-12-04 14:04:34.320
38875,2025-10-31 13:22:50.500
39037,2025-12-04 10:18:55.157
39088,2025-12-08 12:14:28.340
39115,2025-12-04 11:24:04.590
39200,2025-12-05 07:37:58.757
39243,2025-12-04 14:01:20.267
39245,2025-12-04 08:55:27.280
39251,2025-12-04 10:36:21.310
39390,2025-12-05 06:53:23.160
39416,2025-12-08 12:11:10.290
39558,2025-12-04 14:19:17.103
39561,2025-12-04 11:42:31.987
39579,2025-12-04 11:21:38.000
39628,2025-12-04 14:23:11.670
39637,2025-12-05 08:16:10.973
39649,2025-12-04 11:18:18.807
39682,2025-12-04 10:35:44.313
39688,2025-12-05 08:16:13.157
39703,2025-12-05 06:02:08.170
39710,2025-12-04 10:36:37.167
39726,2025-12-04 10:32:47.503
39731,2025-12-05 08:16:17.380
39732,2025-12-04 10:48:10.667
39740,2025-12-04 10:45:50.310
39750,2025-12-05 06:14:51.357
39861,2025-12-05 13:42:06.530
39901,2025-12-04 11:20:23.510
39947,2025-12-04 07:37:06.460
39966,2025-12-04 10:34:14.597
40019,2025-10-16 09:05:33.017
40022,2025-12-04 07:48:22.887
40038,2025-12-04 07:31:45.310
40046,2025-12-04 11:09:15.807
40066,2025-10-01 12:24:58.497
40080,2025-12-04 11:44:02.953
40084,2025-12-04 10:23:56.643
40126,2025-12-05 08:16:25.480
40142,2025-12-04 07:54:52.917
40165,2025-12-04 10:41:39.880
40221,2025-12-05 06:40:32.903
40248,2025-12-04 07:56:21.330
40297,2025-12-04 11:22:32.230
40329,2025-12-04 10:46:37.500
40336,2025-12-04 10:31:57.783
40382,2025-10-08 10:42:40.520
40415,2025-12-05 08:16:28.977
40417,2025-12-05 14:53:13.173
40418,2025-12-04 11:26:16.097
40420,2025-10-07 14:57:10.070
40427,2025-12-04 10:47:59.900
40434,2025-10-09 16:44:38.053
40454,2025-12-04 11:17:56.353
40476,2025-12-08 12:12:20.873
40530,2025-10-02 15:40:49.883
40537,2025-12-04 14:21:07.690
40544,2025-12-04 08:51:01.893
40549,2025-12-04 07:46:07.003
40552,2025-12-05 06:55:37.297
40571,2025-12-04 07:32:26.003
40584,2025-12-05 07:42:05.743
40599,2025-12-04 10:45:35.980
40604,2025-12-08 15:20:31.523
40613,2025-09-25 13:16:01.157
40637,2025-12-04 10:26:36.780
40638,2025-12-04 13:46:38.650
40644,2025-12-05 08:16:42.800
40653,2025-12-04 11:07:08.990
40656,2025-12-04 10:43:19.460
40676,2025-12-05 08:16:44.700
40680,2025-12-04 07:38:41.840
40703,2025-12-05 07:08:06.323
40709,2025-12-04 14:26:51.873
40710,2025-12-04 08:00:15.447
40724,2025-12-05 06:19:30.480
40746,2025-12-05 07:42:10.160
40757,2025-12-04 14:22:24.317
40785,2025-12-04 10:20:21.860
40791,2025-12-05 07:08:01.277
40816,2025-12-05 08:01:40.380
40817,2025-12-04 10:26:20.340
40836,2025-12-05 08:16:46.963
40862,2025-12-04 10:15:28.000
40900,2025-09-29 14:53:07.853
40909,2025-12-05 06:55:43.703
40940,2025-12-04 11:46:38.310
40942,2025-12-04 10:48:05.610
40952,2025-12-05 05:55:39.173
40975,2025-10-02 10:11:42.063
40982,2025-12-05 08:16:49.603
41016,2025-12-04 07:34:30.410
41032,2025-12-04 08:58:00.933
41040,2025-12-04 11:26:40.073
41044,2025-12-04 14:16:09.200
41075,2025-12-04 14:16:17.870
41076,2025-12-05 07:23:44.460
41087,2025-12-06 12:29:30.473
41116,2025-12-05 07:13:58.300
41128,2025-12-05 08:16:52.460
41130,2025-12-04 10:48:19.063
41131,2025-12-04 10:43:00.460
41152,2025-12-04 11:07:10.543
41155,2025-12-04 14:12:22.183
41242,2025-12-04 10:24:31.073
41250,2025-11-24 11:17:37.467
41260,2025-12-04 07:29:42.707
41337,2025-12-04 10:44:27.787
41346,2025-12-04 10:51:56.650
41386,2025-12-04 10:47:33.390
41387,2025-12-05 07:39:25.730
41390,2025-12-05 07:31:47.433
41397,2025-12-05 08:16:59.090
41490,2025-12-05 15:05:55.187
41532,2025-12-04 10:21:31.423
41636,2025-12-04 07:31:29.380
41645,2025-12-04 08:07:33.887
41647,2025-12-04 10:34:25.553
41673,2025-10-20 12:33:20.450
41681,2025-12-04 09:06:21.133
41689,2025-12-04 10:47:23.810
41709,2025-12-04 14:17:53.007
41746,2025-12-04 14:25:25.047
41751,2025-12-04 09:00:54.097
41752,2025-12-05 07:51:47.880
41758,2025-12-04 10:47:53.573
41777,2025-12-04 07:37:02.503
41782,2025-10-15 16:11:49.087
41793,2025-12-05 06:29:38.133
41804,2025-12-04 08:50:58.260
41807,2025-12-05 06:47:29.280
41809,2025-12-04 07:54:37.460
41811,2025-12-04 07:53:24.997
41859,2025-12-08 13:50:52.503
41871,2025-12-04 07:50:08.927
41884,2025-12-04 11:06:58.183
41891,2025-12-04 11:37:17.460
41941,2025-12-05 08:17:05.080
41967,2025-12-04 07:53:33.990
41979,2025-12-04 10:34:20.130
41982,2025-12-04 11:43:30.850
41995,2025-12-04 10:28:51.130
42006,2025-12-04 13:50:48.967
42035,2025-12-04 10:13:39.417
42052,2025-12-04 11:12:52.140
42088,2025-12-04 10:52:24.757
42139,2025-12-04 10:22:48.473
42170,2025-12-04 11:24:11.087
42179,2025-12-04 11:38:28.560
42189,2025-12-05 06:50:00.797
42194,2025-12-04 07:33:34.933
