IBVStatusID,DateCreated
36129,2025-12-04 10:47:45.630
36161,2025-11-03 12:17:41.490
36167,2025-12-04 10:35:09.087
36232,2025-12-04 13:21:27.203
36280,2025-12-22 15:41:40.907
36306,2025-12-04 13:47:39.833
36310,2025-12-19 13:16:08.260
36338,2026-01-05 09:44:15.453
36364,2026-01-02 10:35:00.757
36377,2026-01-07 11:10:15.130
36383,2025-12-03 17:51:20.007
36544,2025-12-04 11:08:18.143
36546,2025-12-25 07:07:27.470
36599,2026-01-06 21:10:06.443
36683,2026-01-02 10:56:50.823
36722,2025-12-12 11:09:05.487
36729,2025-12-04 10:47:48.173
36739,2026-01-07 17:04:24.277
36946,2026-01-07 13:19:26.680
36948,2025-12-31 16:46:15.950
36968,2026-01-07 12:16:58.317
36973,2025-12-24 06:18:48.563
36988,2026-01-07 14:50:18.910
36993,2025-12-04 08:58:29.520
37003,2025-12-29 15:50:13.647
37024,2025-12-18 13:11:02.567
37037,2025-12-22 01:17:20.023
37054,2025-12-11 11:03:05.747
37144,2025-12-31 03:14:49.250
37195,2025-11-19 14:51:05.123
37259,2026-01-01 19:14:29.723
37350,2025-12-07 12:43:17.490
37374,2025-12-31 12:02:02.453
37377,2025-12-05 11:53:37.390
37462,2025-12-22 05:46:25.963
37498,2025-12-17 19:46:21.587
37505,2025-12-04 19:45:37.003
37585,2025-12-31 16:32:35.890
37784,2025-12-10 15:55:18.620
37789,2025-12-22 11:15:14.993
37819,2025-12-10 14:31:52.027
37857,2025-12-04 07:40:17.830
37864,2025-12-10 17:20:19.490
37866,2025-12-10 12:53:45.253
37910,2025-12-31 08:02:33.503
38084,2026-01-07 15:23:44.497
38126,2025-12-12 07:21:22.923
38142,2025-12-29 15:10:05.490
38149,2025-12-25 21:51:21.370
38178,2025-12-01 11:50:56.860
38250,2025-12-22 09:04:52.790
38369,2025-12-24 10:10:31.103
38419,2025-12-04 09:00:49.243
38422,2026-01-07 18:59:31.087
38496,2025-12-31 07:12:08.557
38520,2025-12-04 09:04:04.327
38521,2025-12-04 07:42:44.897
38533,2025-12-04 10:39:02.450
38534,2026-01-06 08:01:09.770
38552,2025-12-24 23:14:05.080
38599,2025-09-29 11:54:38.197
38652,2025-12-29 15:29:17.223
38658,2025-12-15 19:33:20.540
38714,2025-12-04 12:28:27.527
38739,2025-12-29 15:34:12.600
38809,2026-01-02 16:14:41.800
38814,2026-01-05 15:46:42.730
38872,2025-12-04 14:04:34.320
38875,2025-10-31 13:22:50.500
38877,2026-01-07 17:53:34.080
38898,2025-12-22 12:55:37.490
39017,2025-12-31 11:05:33.600
39037,2025-12-04 10:18:55.157
39075,2026-01-01 23:21:28.957
39088,2025-12-08 12:14:28.340
39115,2025-12-04 11:24:04.590
39128,2025-12-22 13:30:26.440
39160,2025-12-10 19:35:12.963
39161,2025-12-19 12:08:09.613
39200,2025-12-18 09:44:54.683
39240,2025-12-19 04:29:22.630
39243,2025-12-04 14:01:20.267
39245,2025-12-04 08:55:27.280
39251,2025-12-04 10:36:21.310
39315,2026-01-05 17:42:39.313
39390,2025-10-29 16:19:14.243
39416,2025-12-08 12:11:10.290
39502,2025-12-17 12:11:01.047
39558,2025-12-04 14:19:17.103
39561,2025-12-04 11:42:31.987
39579,2025-12-04 11:21:38.000
39606,2025-12-29 16:25:51.403
39628,2025-12-04 14:23:11.670
39637,2025-12-04 14:09:42.083
39649,2025-12-04 11:18:18.807
39682,2025-12-04 10:35:44.313
39685,2025-12-31 12:12:14.827
